date,news-economic,news-flee,news-food,news-health,news-physical,news-political,trends-economic,trends-physical,trends-political,trends-travel,trends-health,trends-food,buzz-economic,buzz-flee,buzz-food,buzz-health,buzz-physical,buzz-political,events-Events,events-FATALITIES,gdelt-Negative Tone,gdelt-Positive Tone
2022-02-01,2.623249290397901,0.7781512503836436,1.6812412373755872,1.8573324964312685,3.6724673130680823,3.526339277389844,61.48744946853439,122.04805572832964,121.38472904196199,14.465336071133281,34.728206840414984,42.99656860428178,0.0,0.0,0.0,0.0,1.8195439355418688,0.3010299956639812,2.741939077729199,0.0,93194.08765865695,7013.016565624645
2022-02-02,0.3010299956639812,0.0,0.47712125471966244,1.0791812460476249,1.380211241711606,1.5563025007672873,60.2540589751287,123.49443042267396,123.83586428983966,15.148162544908088,34.59274983449346,45.0830051850449,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,2.1583624920952498,0.0,80916.95046319418,5895.703791061856
2022-02-03,2.3802112417116064,0.3010299956639812,1.3802112417116061,1.5051499783199058,3.212720154417842,3.3246939138617746,61.113386718886595,125.42147385691183,121.4246857805249,15.889268997592309,36.73094321933859,43.34465418357044,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,1.7558748556724912,0.0,62004.154809988184,9380.343960798751
2022-02-04,0.3010299956639812,0.0,0.3010299956639812,0.3010299956639812,1.0791812460476249,1.2041199826559248,58.23351176282556,120.6820905702163,96.38137453234076,16.9726462671023,36.101470055323816,39.88752242568531,0.6020599913279624,0.0,0.3010299956639812,0.0,1.3222192947339193,0.0,2.204119982655925,0.0,52104.9009544048,6278.608575979254
2022-02-05,0.3010299956639812,0.0,0.3010299956639812,0.3010299956639812,0.7781512503836436,0.7781512503836436,53.88489340137808,121.21177858829677,76.80396703676364,16.890556141102067,34.30096904874563,39.26354590944039,0.0,0.0,0.0,0.0,0.0,0.0,1.7481880270062005,0.0,27815.394172507553,2671.0073091869435
2022-02-06,1.2041199826559248,0.0,0.9030899869919435,1.2041199826559248,1.4471580313422192,1.4471580313422192,55.93973094913912,124.16182777343907,110.11306480574075,16.581280823162032,34.74697968138006,43.315390069282955,0.3010299956639812,0.0,0.0,0.0,1.3010299956639813,0.0,1.9637878273455553,0.6989700043360189,33858.40150478078,1108.4161679430856
2022-02-07,1.3010299956639813,0.3010299956639812,0.3010299956639812,1.0791812460476249,2.3010299956639813,2.3802112417116064,59.302615130886466,129.24511311772466,129.9808277430362,16.489526736854327,35.70313068389602,44.45053554104415,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,2.546542663478131,0.0,59903.07729042614,3074.5712853810373
2022-02-08,2.2833012287035497,0.3010299956639812,1.1760912590556813,1.7481880270062005,3.0934216851622347,3.1205739312058496,57.74412751983377,130.5121915225176,136.04548600624727,16.245265267247866,34.8462113456019,46.01727585931458,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,1.8692317197309762,0.0,62424.724968887465,6578.239098547466
2022-02-09,1.0791812460476249,0.0,0.3010299956639812,0.0,1.3010299956639813,1.3010299956639813,57.26862590202944,124.38801535004683,135.76237400455045,16.061074616935606,33.986661643982266,45.78191090461264,0.0,0.0,0.47712125471966244,0.0,2.635483746814912,0.6020599913279624,1.462397997898956,0.0,50166.88842051436,6945.5730975893575
2022-02-10,1.255272505103306,0.0,0.6020599913279624,0.47712125471966244,1.1760912590556813,1.6812412373755872,54.92081785379639,120.77316923340965,127.99290959211436,15.461420492452433,31.622545648663973,42.685444837852046,0.0,0.0,0.3010299956639812,0.47712125471966244,2.401400540781544,0.6020599913279624,2.6394864892685863,0.0,55476.195919781116,4177.467197130531
2022-02-11,0.9030899869919435,0.0,0.3010299956639812,0.3010299956639812,1.4471580313422192,1.380211241711606,51.854175352434055,116.77489064047552,106.95773105992727,16.094772610614008,29.18275378285286,38.34469306786411,0.0,0.0,0.0,0.0,1.2041199826559248,0.47712125471966244,2.1398790864012365,0.0,89823.3205744433,5524.357295922419
2022-02-12,2.079181246047625,0.8450980400142568,1.0791812460476249,0.6020599913279624,2.1931245983544616,2.225309281725863,46.55327709203608,115.26791779710291,81.13660652713747,16.349731529689464,23.872562488268212,34.45124992239937,0.0,0.6989700043360189,0.0,0.0,0.0,0.7781512503836436,2.0211892990699383,0.0,103467.03310445945,2467.582144282575
2022-02-13,1.591064607026499,0.6020599913279624,1.0791812460476247,0.3010299956639812,2.255272505103306,2.4983105537896004,50.76787503580292,126.6163997884111,108.68729640520866,17.509423006410692,25.781840104744482,37.505219812605844,0.3010299956639812,0.3010299956639812,0.0,0.0,2.760422483423212,1.6020599913279625,1.6812412373755872,0.0,108692.18060631608,3184.7096791009462
2022-02-14,1.0791812460476249,0.0,0.7781512503836436,0.0,1.6812412373755872,1.505149978319906,50.10263334708213,123.27732749836527,136.3531408210428,16.671688623602662,28.76398806462528,37.086676079750255,0.0,0.0,0.0,0.0,2.510545010206612,2.12057393120585,2.7075701760979363,0.0,118727.51880612489,6482.402371999862
2022-02-15,0.7781512503836436,0.3010299956639812,0.6020599913279624,1.146128035678238,1.9030899869919435,2.0334237554869494,56.02297669827261,126.57902566180533,142.38151654009852,16.032585650577676,30.72834949892655,41.35377132773731,0.3010299956639812,0.0,0.0,0.0,0.0,0.3010299956639812,2.0086001717619175,0.3010299956639812,129869.27060479844,6141.628636690714
